"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2002,Germany,Guatemala,"Refugees (incl. refugee-like situations)",6
2002,Germany,Guyana,Asylum-seekers,1
2002,Germany,Guyana,"Refugees (incl. refugee-like situations)",3
2002,Germany,Honduras,"Refugees (incl. refugee-like situations)",14
2002,Germany,Croatia,Asylum-seekers,52
2002,Germany,Croatia,"Refugees (incl. refugee-like situations)",3845
2002,Germany,Haiti,"Refugees (incl. refugee-like situations)",16
2002,Germany,Hungary,Asylum-seekers,9
2002,Germany,Hungary,"Refugees (incl. refugee-like situations)",2540
2002,Germany,Indonesia,Asylum-seekers,8
2002,Germany,Indonesia,"Refugees (incl. refugee-like situations)",99
2002,Germany,India,Asylum-seekers,693
2002,Germany,India,"Refugees (incl. refugee-like situations)",2532
2002,Germany,Ireland,"Refugees (incl. refugee-like situations)",5
2002,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,2462
2002,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",51538
2002,Germany,Iraq,Asylum-seekers,4187
2002,Germany,Iraq,"Refugees (incl. refugee-like situations)",72697
2002,Germany,Iceland,"Refugees (incl. refugee-like situations)",13
2002,Germany,Israel,Asylum-seekers,55
2002,Germany,Israel,"Refugees (incl. refugee-like situations)",337
2002,Germany,Italy,"Refugees (incl. refugee-like situations)",191
2002,Germany,Jamaica,Asylum-seekers,1
2002,Germany,Jamaica,"Refugees (incl. refugee-like situations)",14
2002,Germany,Jordan,Asylum-seekers,39
2002,Germany,Jordan,"Refugees (incl. refugee-like situations)",554
2002,Germany,Japan,"Refugees (incl. refugee-like situations)",14
2002,Germany,Kazakhstan,Asylum-seekers,57
2002,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",3464
2002,Germany,Kenya,Asylum-seekers,25
2002,Germany,Kenya,"Refugees (incl. refugee-like situations)",179
2002,Germany,Kyrgyzstan,Asylum-seekers,17
2002,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",2106
2002,Germany,Cambodia,Asylum-seekers,7
2002,Germany,Cambodia,"Refugees (incl. refugee-like situations)",252
2002,Germany,Kiribati,"Refugees (incl. refugee-like situations)",1
2002,Germany,"Rep. of Korea",Asylum-seekers,4
2002,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",157
2002,Germany,Kuwait,Asylum-seekers,6
2002,Germany,Kuwait,"Refugees (incl. refugee-like situations)",35
2002,Germany,"Lao People's Dem. Rep.",Asylum-seekers,4
2002,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",403
2002,Germany,Lebanon,Asylum-seekers,362
2002,Germany,Lebanon,"Refugees (incl. refugee-like situations)",19035
2002,Germany,Liberia,Asylum-seekers,126
2002,Germany,Liberia,"Refugees (incl. refugee-like situations)",810
2002,Germany,Libya,Asylum-seekers,90
2002,Germany,Libya,"Refugees (incl. refugee-like situations)",495
2002,Germany,"Sri Lanka",Asylum-seekers,368
2002,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",17403
2002,Germany,Lesotho,"Refugees (incl. refugee-like situations)",3
2002,Germany,Lithuania,Asylum-seekers,25
2002,Germany,Lithuania,"Refugees (incl. refugee-like situations)",1150
2002,Germany,Latvia,Asylum-seekers,6
2002,Germany,Latvia,"Refugees (incl. refugee-like situations)",2415
2002,Germany,Morocco,Asylum-seekers,77
2002,Germany,Morocco,"Refugees (incl. refugee-like situations)",888
2002,Germany,Monaco,"Refugees (incl. refugee-like situations)",1
2002,Germany,"Rep. of Moldova",Asylum-seekers,68
2002,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",5370
2002,Germany,Madagascar,"Refugees (incl. refugee-like situations)",8
2002,Germany,Mexico,"Refugees (incl. refugee-like situations)",13
2002,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,258
2002,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",3186
2002,Germany,Mali,Asylum-seekers,10
2002,Germany,Mali,"Refugees (incl. refugee-like situations)",151
2002,Germany,Malta,"Refugees (incl. refugee-like situations)",1
2002,Germany,Myanmar,Asylum-seekers,52
2002,Germany,Myanmar,"Refugees (incl. refugee-like situations)",368
2002,Germany,Mongolia,Asylum-seekers,36
2002,Germany,Mongolia,"Refugees (incl. refugee-like situations)",196
2002,Germany,Mozambique,Asylum-seekers,3
